"asset_id","layer","sort_order","sanskrit_name","english_name","english_description","storage_type","target_table","count_sql","size_sql","target_floor","expected_volume_formula","expected_volume_inputs","volume_explanation","depends_on","scope","is_active","estimated_seconds","created_at","clear_tables","asset_type","layer_name","layer_index","provides_apis","health_probe","catalog_status","rebuild_on_probe_fail","integrity_check_sql","has_substeps","asset_kind","service_health","last_invoked_at","last_selftest_at","selftest_detail","has_writer","writer_timeout_seconds","domain","rung","superseded_by","data_disposition"
"bg_formula_constants","brahmagyan","18","Sūtra-māna-kośaḥ","Formula Constants","Canonical formula constants registry — combustion orbs, obstruction thresholds, magnitude tiers, dignity scores, house weights, attention budget, and engineering constants. Classes: CLASSICAL (cite, never tune) | NATIVE_JUDGMENT (versioned, L5-calibratable) | ENGINEERING | CONFLATION_BUG.","postgres_table","brahma_formula_constants","SELECT COUNT(*) FROM brahma_formula_constants WHERE class != 'conflation_bug'","SELECT pg_total_relation_size('brahma_formula_constants')","","","","","[]","global","True","","2026-07-03 11:18:17.285707+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_ghatana","brahmagyan","17","Ghaṭanā-darśanam","Event + Activity Ontology","Life-event ontology (27 event classes keyed to LEL categories, DR-13 shape-extended 2026-07-19: point/interval/chain temporal shapes, gain-vs-loss evidence_requirements, self_report_non_discriminating flags, kill_switch_criteria) + electional activity ontology (12 muhurta activity classes). Seeded from W1 seed package Sections 5-6; shape/evidence/self-report/kill-switch fields added by D-4a Lane A-2. Governs L4 ph_nimitta, L4 ph_muhurta, the D-4a matcher (A-1), and the D-4a prospective ledger (A-4) claim_shape validation.","postgres_table","brahma_event_ontology","SELECT (SELECT COUNT(*) FROM brahma_event_ontology) + (SELECT COUNT(*) FROM brahma_activity_ontology) AS count","SELECT pg_total_relation_size('brahma_event_ontology')","","","","","[]","global","True","","2026-07-03 11:18:16.217482+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_gochara_arcs","brahmagyan","77","Gocara Cāpa-Vibhāga","Transit Monotone-Arc Substrate","W2G (GOCHARA-2.0, item 19). Chart-independent decomposition of every graha's ecliptic-longitude history over the stored 1900-2150 ephemeris epoch into MONOTONE ARCS: maximal intervals on which longitude is strictly monotone in time and confined to a single 360-degree band, cut at real stations (sign-change-confirmed roots of the interpolated velocity) and at 360-degree wrap boundaries. Turns ""when does body B reach degree L"" from a day-stepping ephemeris scan into a range predicate plus one bracketed bisection -- which is what removes the ~110-120ms-per-contact-primitive-call cost measured in the v1 sweep. Carries a per-body arc_fingerprint so an invalidation is exactly as wide as the change that caused it. Geometry only: no grammar, no orbs, no astrology -- those stay frozen at v1 per GOCHARA_SWEEP_2_0_DESIGN section 5.","postgres_table","bg_gochara_arcs","SELECT COUNT(*) FROM bg_gochara_arcs","SELECT pg_total_relation_size('bg_gochara_arcs')","34553","","","","[]","global","True","","2026-08-05 08:56:32.155658+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","True","data","","","","","True","1800","shared","R0","",""
"bg_gochara_citation_resolution","brahmagyan","80","Gochara Udāharaṇa Sandarbha Sāraṇī","Gochara Citation→Verse-Ref Resolution Table (MR-25)","MR-25 (PARIṢKĀRA): maps gochara citation strings (gochara_grammar/citations.py constants + primitives.py families) to classical_text_chunks verse_refs. Resolved rows carry a confirmed chunk_id + verse_ref from the corpus; unresolved rows record honest corpus gaps per B.10. Consumed by register_gochara_windows.ts serving join to surface verse_refs on gochara_forecast_get and gochara_activation_get responses.","postgres_table","bg_gochara_citation_resolution","SELECT COUNT(*) FROM bg_gochara_citation_resolution","SELECT pg_total_relation_size('bg_gochara_citation_resolution')","4","","","","[""bg_texts""]","global","True","","2026-08-10 18:18:46.798865+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","False","60","shared","R0","",""
"bg_kota_chakra_rings","brahmagyan","72","Koṭa-Cakra Valaya-Sāraṇī","Kota-Chakra Ring Table","ADJUDICATION-9: the Kota-Chakra fort-chakra ring partition (stambha/durgantara/prakara/bahya, 1-indexed distance from janma nakshatra), moved from an inline writer-code dict to a versioned L0 global reference table. Tier-(iii) secondary-source transcription; corpus_status='not_in_corpus' on every row; ingestion work item filed for the primary source, not attempted here. Consumed by ka_kota_chakra.","postgres_table","bg_kota_chakra_rings","SELECT COUNT(*) FROM bg_kota_chakra_rings","SELECT pg_total_relation_size('bg_kota_chakra_rings')","27","","","","[]","global","True","","2026-08-02 05:18:23.136991+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","60","shared","R0","",""
"bg_kp_sublord_division","brahmagyan","76","Kṛṣṇamūrti Upa-Svāmī Vibhāga","KP Sub-Lord Division (249-fold)","ADJUDICATION-7 Part 1: the canonical 249-fold Krishnamurti Paddhati sub-lord division of the sidereal zodiac. 243 Vimshottari-proportional sub segments (sub arc = lord_years/9 degrees, sequence starting from the nakshatra lord) cut at the 12 rashi boundaries; 6 boundaries fall strictly inside a sub and split it, so 243 + 6 = 249 — derived by exact rational arithmetic, not hard-coded. Stored in sidereal longitude with NO ayanamsha key (the sidereal division is ayanamsha-invariant). AUTHORITY for every KP sub-lord boundary: ga_nakshatra REFERENCES it (§N.5) rather than re-deriving. Verified 9/9 star lord + 9/9 sub lord against the committed FORENSIC §4.2 fixture in 05_TEMPORAL_ENGINES/kp/CROSSCHECK_v1_0.md §2.","postgres_table","bg_kp_sublord_division","SELECT COUNT(*) FROM bg_kp_sublord_division","SELECT pg_total_relation_size('bg_kp_sublord_division')","249","","","","[]","global","True","","2026-08-05 08:56:29.577764+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","120","shared","R0","",""
"bg_medical_mappings","brahmagyan","64","Vaidya Graha Kosha","Medical Graha Mappings","Classical Ayurvedic graha → dosha/dhatu/organ/body-part mappings per BPHS Ch.18, Ashtanga Hridayam, Charaka Samhita. 9 grahas (Sun–Ketu). L0 static reference.","postgres_table","bg_medical_mappings","SELECT COUNT(*) FROM bg_medical_mappings","","9","","","9 rows = one row per classical graha (Sun through Ketu).","[]","global","True","","2026-06-17 07:12:15.367068+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_muhurta_lattice","brahmagyan","70","Muhūrta Jālaka","Muhūrta Boundary/Factor Lattice","Global chart-independent muhūrta factor lattice — Agnivāsa states, combination-yoga spans (Sarvārtha-siddhi, Amṛta-siddhi, Ravi/Guru-Puṣya, Tripuṣkara/Dvipuṣkara, Siddha-yoga, Bhadra, Pañchaka), kālam periods (rāhu/gulika/yamagaṇḍa/durmuhūrta/brāhma-muhūrta/abhijit/amṛta-kālam/varjyam), and 30-fold ghaṭī-muhūrta day+night boundaries, over a rolling ~5y forward horizon at a fixed Bhubaneswar/IST reference location. Per-chart contact joins are ka_kshetra's job (W3). ṢAḌ-DARŚANA campaign item 36-substrate.","postgres_table","bg_muhurta_lattice","SELECT COUNT(*) FROM bg_muhurta_lattice","SELECT pg_total_relation_size('bg_muhurta_lattice')","91477","","","Live-verified 2026-07-30 against a real throwaway Postgres (pg17 + pgvector), re-verified after the Opus corpus-citation review's abhijit-Wednesday-exclusion fix: 1,826 agnivasa + 1,481 combination_yoga + 33,390 kalam + 54,780 ghati_muhurta = 91,477, over horizon 2026-07-30 -> 2031-07-30 (today+5y at verification time), computed at the fixed Bhubaneswar/IST reference location. (Prior count was 91,737 before the fix; the 260-row delta is exactly the ~261 Wednesdays in the horizon whose incorrectly-served abhijit row is now correctly excluded.) Because the horizon rolls FORWARD from ""today"" every rebuild and old rows are never deleted (ON CONFLICT DO NOTHING only), a later build reads >= this count, never less — a legal floor, not a guess (mirrors bg_sky_calendar's live-verified-count precedent).","[]","global","True","","2026-07-30 06:52:27.093483+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","True","data","","","","","True","600","shared","R0","",""
"bg_nakshatra","brahmagyan","15","Nakṣatra-sāraṇī","Nakshatra Reference","Global nakshatra reference — 28 nakshatras (incl. Abhijit), 108 padas, full Ashtakuta + supplementary compatibility matrices (2721 rows).","postgres_table","reference_nakshatra","SELECT (SELECT COUNT(*) FROM reference_nakshatra) + (SELECT COUNT(*) FROM reference_nakshatra_pada) + (SELECT COUNT(*) FROM reference_nakshatra_matrix) AS count","SELECT pg_total_relation_size('reference_nakshatra')","2857","","","28 nakshatras + 108 padas + 2721 compatibility matrix rows (28×28 Ashtakuta cells × ~3.5 factors) = 2857 total rows.","[]","global","True","","2026-06-16 21:02:30.168511+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_nakshatra_medical","brahmagyan","65","Nakshatra Deha Kosha","Nakshatra Body-Part Mappings","27 nakshatras → body-part correspondences per Ashtanga Hridayam / BPHS. FORENSIC: #25 Purva Bhadrapada → left_side (native Moon nakshatra).","postgres_table","bg_nakshatra_medical","SELECT COUNT(*) FROM bg_nakshatra_medical","","27","","","27 rows = one per nakshatra (Abhijit excluded from medical mapping corpus).","[]","global","True","","2026-06-17 07:12:15.367068+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","False","600","shared","R0","",""
"bg_ontology","brahmagyan","4","Nāmasaṃgraha","Ontology","Canonical entity vocabulary — grahas, signs, houses, nakshatras, dashas, domains + synonyms","postgres_table","brahma_ontology","SELECT count(*) FROM brahma_ontology","SELECT pg_total_relation_size('brahma_ontology')","623","","","Static vocabulary — count established at seed; used by resolve_entity retrieval tool","[]","global","True","","2026-06-07 11:43:43.845873+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_panchanga","brahmagyan","13","Pañcāṅga Gaṇanā","Panchanga Engine","Deterministic panchang computation service (swisseph DE441, Lahiri ayanamsha, Drik-parity). Exposes panchanga_instant(instant,lat,lon,tz_offset) and panchanga_day(date,lat,lon,tz_offset). Zero LLM. Floor: 5 angas + timing windows + 9 graha states.","service","","","","","","","","[]","global","True","","2026-06-09 19:14:14.241298+00:00","","service","Brahmagyan","L0","[{""api"": ""panchanga_instant"", ""signature"": ""panchanga_instant(instant: datetime, lat: float, lon: float, tz_offset: int) -> PanchangaInstant"", ""description"": ""Anga state at exact moment \u2014 birth chart / event instant""}, {""api"": ""panchanga_day"", ""signature"": ""panchanga_day(date: date, lat: float, lon: float, tz_offset: int) -> Panchang"", ""description"": ""Full sunrise-based daily panchang including timings and graha states""}]","{""probe_type"": ""panchanga_engine"", ""forensic_lat"": 20.27, ""forensic_lon"": 85.84, ""forensic_instant"": ""1984-02-05T10:43:00"", ""forensic_expected"": {""vara"": ""Ravivara"", ""yoga"": ""Shiva"", ""tithi"": ""Shukla Tritiya"", ""karana"": ""Garaja"", ""nakshatra"": ""Purva Bhadrapada""}, ""forensic_tz_offset"": 330}","CURRENT","False","","False","service","","","","","False","600","shared","R0","",""
"bg_parihara_rules","brahmagyan","71","Parihāra Jāla","Parihāra Rule Graph + Muhūrta Factor Census","Global chart-independent parihāra (doṣa-cancellation) graph, per-activity muhūrta factor-quality rules, and the Muhūrta Factor Census + corpus-gap register. Directly queries brahma_dosha_catalog and materializes panchang_engine.shastra_tables.EVENT_TABLES — never re-ingests corpus content (brahma_remedy_corpus is referenced only as evidence in the factor census, for the deity_graha_correspondence row; this writer does not query it directly). Corpus gaps (e.g. mṛtyu-yoga, dagdha-yoga day-quality tables, Śiva-vāsa) are honestly recorded as not_in_corpus, never fabricated. ṢAḌ-DARŚANA campaign item 36-substrate/41.","postgres_table","bg_parihara_rules","SELECT (SELECT COUNT(*) FROM bg_parihara_rules) + (SELECT COUNT(*) FROM bg_muhurta_activity_rules) + (SELECT COUNT(*) FROM bg_muhurta_factor_census)","SELECT pg_total_relation_size('bg_parihara_rules') + pg_total_relation_size('bg_muhurta_activity_rules') + pg_total_relation_size('bg_muhurta_factor_census')","447","","","Live-verified 2026-07-30 and re-counted 2026-08-02 (ṢAḌ-DARŚANA W4 Lane R): 60 parihara-graph condition rows (26 doshas in brahma_dosha_catalog carry a real, non-placeholder citation, flattening to 60 individual cancellation-condition rows) + 329 activity-rule rows (exact, deterministic — sum of tithi/nakshatra/vara entries across panchang_engine's 8 EVENT_TABLES) + 58 census rows (exact — len(CENSUS_ROWS); 50 before W4, +8 for the ruling R-1 named deferrals, the item-6 join + frozen-axis partial, the item-7 muhurta-lagna trio, and the Brihat Samhita Adh. C sl.3-4 conditional Vishti finding) = 447. The 329 + 58 = 387 portion is a hard deterministic floor; the parihara-graph portion depends on brahma_dosha_catalog's live content and was confirmed via a direct read-only query against production, not fabricated or estimated.","[]","global","True","","2026-07-30 06:52:28.593296+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","600","shared","R0","",""
"bg_phaladeepika_latta","brahmagyan","75","Lattā Sāraṇī (Phaladeepikā)","Lattā Vedha Rule Table (Phaladeepika PG338-339)","ADJUDICATION-11 Part 4: Phaladeepika Adh. XXVI PG338-339 Sloka 42-44's Lattā (obstruction-point) rule, REAL and cited, transcribed verbatim, 8 grahas (Ketu deliberately absent — its counting rule was not found in the retrieved passage). Consumed by ka_vedha_gochara as vedha_kind='latta' rows, uncited_extension=false.","postgres_table","bg_phaladeepika_latta","SELECT COUNT(*) FROM bg_phaladeepika_latta","SELECT pg_total_relation_size('bg_phaladeepika_latta')","8","","","","[]","global","True","","2026-08-02 05:18:29.576273+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","60","shared","R0","",""
"bg_prashna_rules","brahmagyan","55","Praśna-sūtrāvalī","Prashna Horary Rules","Static horary astrology rules — Prashna lagna methods, Tajik yogas, significators, fructification rules, and special techniques.","postgres_table","","SELECT (SELECT COUNT(*) FROM bg_prashna_lagna_methods) + (SELECT COUNT(*) FROM bg_prashna_tajik_yogas) + (SELECT COUNT(*) FROM bg_prashna_significators) + (SELECT COUNT(*) FROM bg_prashna_fructification_rules) + (SELECT COUNT(*) FROM bg_prashna_special_techniques) AS count","","41","","","41 rows across 5 prashna sub-tables (5 lagna methods + 16 Tajik yogas + 12 significators + 5 fructification rules + 3 special techniques).","[]","global","True","","2026-06-17 07:05:56.628165+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_reference","brahmagyan","2","Sāraṇī","Reference Library","The holy grail of L0 — structured properties of every classical Jyotish concept across 15 specialized typed tables.","postgres_table","reference_nakshatras","SELECT
  (SELECT count(*) FROM reference_planets) +
  (SELECT count(*) FROM reference_signs) +
  (SELECT count(*) FROM reference_aspects) +
  (SELECT count(*) FROM reference_vargas) +
  (SELECT count(*) FROM reference_houses) +
  (SELECT count(*) FROM reference_strength_systems) +
  (SELECT count(*) FROM reference_karakas) +
  (SELECT count(*) FROM reference_upagrahas) +
  (SELECT count(*) FROM reference_constants) +
  (SELECT count(*) FROM reference_topic_tags) +
  (SELECT count(*) FROM reference_glossary) AS count","SELECT pg_total_relation_size('reference_nakshatras')","1485","","","Sum of 15 reference_* tables (per design §3.2). Each table is normalized + typed; ontology resolves names, reference holds properties.","[]","global","True","","2026-06-07 11:43:43.845873+00:00","[""reference_planets"", ""reference_nakshatras"", ""reference_signs"", ""reference_aspects"", ""reference_vargas"", ""reference_houses"", ""reference_strength_systems"", ""reference_karakas"", ""reference_upagrahas"", ""reference_constants"", ""reference_topic_tags"", ""reference_glossary"", ""reference_yogas"", ""reference_doshas"", ""reference_dasha_systems""]","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_remedies","brahmagyan","7","Upāya-kośa","Remedy Corpus","Classical remedies: mantras, gemstones, charity, vrata, yantras, puja, tantric, ayurvedic, vastu, behavioral","postgres_table","brahma_remedy_corpus","SELECT count(*) FROM brahma_remedy_corpus","SELECT pg_total_relation_size('brahma_remedy_corpus')","266","","","266 remedies = writer's designed deterministic ceiling: gen_planet_matrix(108) + dosha-linked(102) + legacy(54) + corpus_sweep net-new(2). Floor = achieved count per floors-are-aspirational policy (CLAUDE.md §N.4); ZERO LLM, ZERO fabrication is a hard writer constraint, so this floor cannot be raised without a native-judgment decision to expand the deterministic corpus design. Re-corrected 2026-07-05 after drifting back to a stale 800 via asset_registry_seed.ts.","[]","global","True","","2026-06-07 11:43:43.845873+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_rules","brahmagyan","6","Sūtravālī","Rule Base","Classical rules extracted from text chunks via Python regex patterns — verse-traceable","postgres_table","sutravali_rules","SELECT count(*) FROM sutravali_rules","SELECT pg_total_relation_size('sutravali_rules')","2912","","","2,912 rules = honest count from actual build against 10,651-chunk corpus.","[""bg_texts""]","global","True","","2026-06-07 11:43:43.845873+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_sarvatobhadra_grid","brahmagyan","73","Sarvatobhadra-Cakra Sāraṇī","Sarvatobhadra Chakra Grid (School-Tagged)","ADJUDICATION-11: school-tagged Sarvatobhadra Chakra grid reference table, registered DELIBERATELY EMPTY. SBC grid geometry varies by Jyotish tradition and no single school has been source-verified; an empty school-keyed table honestly states that variants exist rather than seating one as an unqualified fact. A populated school_tag activates ka_vedha_gochara's DB-sourced-grid-first path with zero code change.","postgres_table","bg_sarvatobhadra_grid","SELECT COUNT(*) FROM bg_sarvatobhadra_grid","SELECT pg_total_relation_size('bg_sarvatobhadra_grid')","0","","","","[]","global","True","","2026-08-02 06:05:02.273598+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","False","600","shared","R0","",""
"bg_sign_medical","brahmagyan","0","Kālapuruṣa Aṅga","Kalapurusha Sign→Body-Part Map","Kalapurusha (Cosmic Man) zodiacal body-map: 12 signs → body-part / organ-systems / element / dosha (BPHS Ch.4 + Ashtanga Hridayam). Seeded by the bg_medical_mappings writer.","postgres_table","bg_sign_medical","SELECT COUNT(*) FROM bg_sign_medical","","12","","","","[]","global","True","","2026-07-13 00:51:18.850638+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_sky_calendar","brahmagyan","21","Ākāśa Pañjikā","Sky-Event Calendar","Chart-independent global sky-event diary: sign ingresses (9 grahas), planetary stations (5 classical planets), solar/lunar eclipse timing, and Jupiter-Saturn double-transit conjunction geometry, over a rolling 1900 -> today+10y horizon. Returns and per-chart/natal joins are out of scope — ka_kshetra's job. ṢAḌ-DARŚANA campaign item 3.","postgres_table","bg_sky_events","SELECT COUNT(*) FROM bg_sky_calendar","SELECT pg_total_relation_size('bg_sky_events')","31064","","","Live-verified 2026-07-29 against a real throwaway Postgres: 28,760 ingress + 1,674 station + 308 eclipse_solar + 312 eclipse_lunar + 10 double_transit = 31,064, over horizon 1900-01-01 -> 2036-07-29 (today+10y at verification time). A later build reads >= this count as the forward edge rolls forward (never less).","[]","global","True","","2026-07-29 14:11:55.568205+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","600","shared","R0","",""
"bg_text_index","brahmagyan","5","Śabdakośa","Text Index","Measurement of retrieval index health — distinct topic tags across embedded + indexed chunks. Retrieval tools point at bg_texts; this asset reports the index coverage metric.","postgres_table","classical_text_chunks","SELECT count(DISTINCT topic_tag) AS count FROM classical_text_chunks WHERE embedding IS NOT NULL AND topic_tag IS NOT NULL","SELECT pg_total_relation_size('classical_text_chunks')","400","","","Distinct topic_tag count from embedded chunks. Floor 400 = topic-vocabulary coverage target; not scaled with chunk count (vocabulary size is independent of corpus depth). Per design §2.2.","[""bg_texts""]","global","True","","2026-06-07 11:43:43.845873+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
